Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Toyota Prius 30, 2010/2024",https://www.unegui.mn/adv/9874149_toyota-prius-30-2010-2024/,25 сая₮,1.8 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2010,2024,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,110000 км,Дугаар авсан
"Lexus LS, 2019/2025",https://www.unegui.mn/adv/9810418_lexus-ls-2019-2025/,90 сая₮95 сая₮,3.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2019,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Хойноо RWD,95000 км,Дугаар аваагүй
"Toyota Camry, 2011/2023",https://www.unegui.mn/adv/9874082_toyota-camry-2011-2023/,26 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2023,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,176000 км,Дугаар авсан
"Lexus LX 600, 2023/2024",https://www.unegui.mn/adv/9873998_lexus-lx-600-2023-2024/,410 сая₮,3.5 л,Автомат,Зөв,Жийп,Цагаан,2023,2024,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,30000 км,Дугаар авсан
"Mercedes-Benz GL-Class, 2022/2022",https://www.unegui.mn/adv/9833370_mercedes-benz-gl-class-2022-2022/,205 сая₮,2.5 л,Автомат,Зөв,Жийп,Бусад,2022,2022,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,19400 км,Дугаар авсан
"Toyota Prius 40, 2014/2025",https://www.unegui.mn/adv/9873967_toyota-prius-40-2014-2025/,25.5 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2014,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,200 км,Дугаар аваагүй
"Nissan X-Trail, 2016/2025",https://www.unegui.mn/adv/9873885_nissan-x-trail-2016-2025/,31.5 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2016,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,97000 км,Дугаар аваагүй
"Volkswagen Tiguan, 2012/2025",https://www.unegui.mn/adv/9873847_volkswagen-tiguan-2012-2025/,41 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар саарал,2012,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,207000 км,Дугаар аваагүй
"Toyota Prius 20, 2008/2022",https://www.unegui.mn/adv/9873853_toyota-prius-20-2008-2022/,15.6 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2008,2022,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,191 км,Дугаар авсан
"Mitsubishi Outlander, 2017/2025",https://www.unegui.mn/adv/9820772_mitsubishi-outlander-2017-2025/,42 сая₮,2.0 л,Автомат,Буруу,Жийп,Хар,2017,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,100000 км,Дугаар аваагүй
"Nissan NV200, 2020/2025",https://www.unegui.mn/adv/9856322_nissan-nv200-2020-2025/,24.6 сая₮,1.6 л,Автомат,Буруу,Гэр бүлийн,Саарал,2020,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,171000 км,Дугаар авсан
"Toyota Aqua, 2020/2025",https://www.unegui.mn/adv/9873822_toyota-aqua-2020-2025/,19.5 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2020,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,145000 км,Дугаар аваагүй
"Toyota Aqua, 2020/2025",https://www.unegui.mn/adv/9873814_toyota-aqua-2020-2025/,19.5 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2020,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,191000 км,Дугаар аваагүй
"Toyota Probox, 2020/2025",https://www.unegui.mn/adv/9873806_toyota-probox-2020-2025/,19.3 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2020,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,200000 км,Дугаар аваагүй
"Ford Mustang, 2018/2020",https://www.unegui.mn/adv/9873792_ford-mustang-2018-2020/,69 сая₮,2.3 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2018,2020,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,45000 км,Дугаар авсан
"Mercedes-Benz CLA-Class, 2017/2025",https://www.unegui.mn/adv/9873778_mercedes-benz-cla-class-2017-2025/,47 сая₮,1.6 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2017,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,82000 км,Дугаар аваагүй
"Toyota Aqua, 2016/2025",https://www.unegui.mn/adv/8693689_toyota-prius-41-2017-2024/,17.5 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2016,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,162000 км,Дугаар аваагүй
"Lexus RX 450, 2016/2025",https://www.unegui.mn/adv/9871395_lexus-rx-450-2016-2025/,95 сая₮,3.5 л,Автомат,Буруу,Жийп,Саарал,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,100000 км,Дугаар аваагүй
"Toyota Vellfire, 2010/2024",https://www.unegui.mn/adv/9858721_toyota-vellfire-2010-2024/,28.5 сая₮,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2010,2024,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,140000 км,Дугаар авсан
"Lexus RX 450, 2017/2025",https://www.unegui.mn/adv/9858939_lexus-rx-450-2017-2025/,93 сая₮,3.5 л,Автомат,Буруу,Жийп,Хар,2017,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,130000 км,Дугаар аваагүй
"Lexus RX 450, 2011/2025",https://www.unegui.mn/adv/9873549_lexus-rx-450-2011-2025/,51 сая₮,3.5 л,Автомат,Буруу,Жийп,Хар,2011,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,80000 км,Дугаар аваагүй
